hh_num,community_factor,age,sex_factor,race_factor,marriage_factor,housesize,property_factor,energy_factor,income,waterperson_factor,drinking,multiple,share,treat_domestic2,treat_drinking2,storage,cistern_elevated2,days_noservice,hours_noservice,intermittency
28,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
29,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
31,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,6,23,167
32,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,none,store,no,4,20,156
32,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
33,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
34,Timbire,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
35,Borbon,47-60,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,No bottled water,multiple,no,treatment,treatment,store,no,6,20,164
35,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
36,Timbire,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
37,Timbire,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,0,12,84
38,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,<= $394,Adult woman,No bottled water,single,no,treatment,treatment,store,no,4,21,159
40,Timbire,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
41,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,multiple,no,none,none,store,no,2,14,118
42,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
43,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
46,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,2,21,153
47,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,multiple,no,treatment,treatment,store,no,5,22,164
49,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,yes,5,20,160
49,Timbire,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
50,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,16,112
50,Timbire,36-46,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
51,Borbon,47-60,hombre,mestizo,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,4,19,153
51,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
52,Timbire,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
54,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
55,Borbon,<36,mujer/otro,mestizo,casado.o.union.libre,Large (more than 6),Yes,Continuous,Skipped,Adult man,Bottled water,multiple,no,none,none,store,no,7,24,168
55,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
56,Borbon,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult man,Bottled water,multiple,no,none,none,store,no,5,22,164
56,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,yes,0,12,84
57,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,yes,0,12,84
58,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),No,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,16,152
58,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
59,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult woman,Bottled water,single,no,treatment,treatment,store,no,4,0,96
59,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
60,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,18,156
60,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
61,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,2,18,138
61,Timbire,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
62,Timbire,36-46,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
63,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
64,Borbon,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,5,18,156
65,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,multiple,no,none,none,store,no,6,18,162
66,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,multiple,no,treatment,none,store,no,4,0,96
66,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
67,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,6,12,156
68,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),No,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,6,12,156
69,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,18,126
69,Timbire,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
70,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
70,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,12,84
71,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Large (more than 6),Yes,Interrupted,>394,Adult woman,Bottled water,multiple,no,treatment,none,store,no,4,12,132
71,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
72,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,multiple,no,none,none,store,no,4,0,96
72,Timbire,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
73,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,treatment,treatment,store,no,4,21,159
73,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
75,Timbire,>60,mujer/otro,mestizo,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
76,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Large (more than 6),Yes,Interrupted,Skipped,Adult man,Bottled water,multiple,no,none,none,store,no,3,19,148
76,Timbire,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
77,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,6,12,156
78,Timbire,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
79,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
80,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,5,12,144
81,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult woman,Bottled water,multiple,no,treatment,treatment,store,no,4,6,114
82,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
83,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
84,Timbire,>60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
85,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
86,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
87,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,4,21,159
88,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,4,14,138
88,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
89,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,2,19,143
89,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
90,Timbire,>60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
91,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
92,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,multiple,no,none,none,no store,no,3,12,120
92,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
93,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,No bottled water,single,no,treatment,treatment,store,no,4,16,144
93,Timbire,>60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
94,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,no store,yes,4,0,96
95,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
97,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,no,3,19,148
97,Timbire,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
98,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,3,18,144
99,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,yes,none,none,no store,no,0,12,84
99,Timbire,<36,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Medium (4-6),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
101,Borbon,36-46,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,20,156
102,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,16,152
102,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
103,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,4,19,153
103,Timbire,47-60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),No,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
105,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
106,Borbon,>60,mujer/otro,mestizo,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,no store,no,3,0,72
108,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
110,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,treatment,none,store,no,3,16,136
111,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
114,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,5,18,156
115,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,none,store,no,2,18,138
115,Borbon,<36,hombre,afro-ecuatoriano,soltero,Large (more than 6),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,none,store,no,2,18,138
115,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
116,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
116,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
117,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,yes,4,18,150
117,Timbire,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,13,91
118,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,7,24,168
118,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,1,13,102
119,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),No,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,1,12,96
119,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,4,0,96
120,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,4,16,144
120,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,0,11,77
122,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,12,84
124,Timbire,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,treatment,store,no,1,11,90
125,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,1,12,96
126,Borbon,36-46,mujer/otro,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,yes,4,19,153
126,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,Bottled water,multiple,no,none,treatment,no store,no,0,11,77
128,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,3,16,136
128,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
128,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
129,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,single,no,treatment,treatment,no store,no,4,20,156
130,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,4,16,144
133,Borbon,36-46,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,5,18,156
134,Timbire,47-60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,1,12,96
135,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,yes,4,17,147
137,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,multiple,no,treatment,none,store,no,3,18,144
137,Timbire,<36,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,multiple,no,none,treatment,store,no,0,14,98
139,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,none,none,store,no,4,19,153
139,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,13,91
